,date,rConsumption,USGrowth,GDPDef,RFR,qt,year,GDPDef_p,RFR_Q,Rt,mt
71,1988-10-01,5811.264,6.738253968253968,59.928999999999995,7.726666666666666,4,1988,0.008651014053690176,0.010665652612976487,1.020458290249505,0.9250706615973656
72,1989-01-01,5838.225,7.201290322580645,60.553000000000004,8.54,1,1989,0.010412321246808798,0.0109376787531912,1.0583052362255256,0.9628837502466228
73,1989-04-01,5865.477,7.83953125,61.198,8.41,2,1989,0.010651825673376969,0.010373174326623033,1.077976864301538,0.9627203398777666
74,1989-07-01,5922.2609999999995,8.57111111111111,61.645,7.843333333333333,3,1989,0.0073041602666754635,0.012304173066657868,1.0860151770484363,0.9343938081676083
75,1989-10-01,5948.0,8.67142857142857,62.083999999999996,7.653333333333332,4,1989,0.007121421039824716,0.012011912293508616,1.0045827161504417,0.9645720982349897
76,1990-01-01,5998.058000000001,8.43984126984127,62.754,7.76,1,1990,0.010791830423297455,0.008608169576702546,0.9625012319966185,0.9414494104204013
77,1990-04-01,6016.329000000001,8.76095238095238,63.457,7.746666666666665,2,1990,0.011202473149122039,0.008164193517544625,1.0268445825767434,0.9720972085298011
78,1990-07-01,6040.1630000000005,8.414920634920636,64.001,7.476666666666666,3,1990,0.00857273429251304,0.010118932374153625,0.95193021892704,0.9667912410128288
79,1990-10-01,5994.2119999999995,7.88453125,64.477,6.99,4,1990,0.007437383790878327,0.010037616209121674,0.9295329801695849,1.0364170620202426
80,1991-01-01,5971.672,8.956885245901638,65.109,6.0233333333333325,1,1991,0.009801944879569424,0.005256388453763907,1.126205379069034,1.0126330864867499
81,1991-04-01,6021.1630000000005,9.8,65.587,5.56,2,1991,0.007341534964444341,0.0065584650355556585,1.0867888162627461,0.9421684630644356
82,1991-07-01,6051.184,10.0715625,66.09899999999999,5.376666666666666,3,1991,0.007806425053745292,0.0056352416129213725,1.0199040341299281,0.9608937020718875
83,1991-10-01,6048.156,10.29609375,66.492,4.54,4,1991,0.005945627014024568,0.0054043729859754325,1.0163479595074312,0.9929775764864145
84,1992-01-01,6161.398,11.185555555555554,66.73899999999999,3.8933333333333326,1,1992,0.003714732599410242,0.00601860073392309,1.082673545047688,0.8857221820975069
85,1992-04-01,6203.224,11.042380952380952,67.14,3.68,2,1992,0.006008480798334048,0.0031915192016659516,0.9811915646117045,0.9506179062907248
86,1992-07-01,6269.718000000001,11.24765625,67.468,3.083333333333333,3,1992,0.004885314268692431,0.0028230190646409015,1.0137044535091333,0.9286497219081319
87,1992-10-01,6344.446,11.63296875,67.932,3.07,4,1992,0.006877334440030802,0.0007976655599691972,1.0273798024634908,0.9220638763952138
